ime,kapaciteta,mesto,drzava,ekipa,uporaba1,uporaba2,uporaba3,kontinent
Ralph Wilson Stadium,73967,"Orchard Park, New York",United States,Buffalo Bills,American football,,,North America
Bank of America Stadium,73298,"Charlotte, North Carolina",United States,Carolina Panthers,American football,,,North America
Mercedes-Benz Superdome,73208,New Orleans,United States,New Orleans Saints,American football,association football,basebal,North America
FirstEnergy Stadium (Cleveland),73200,Cleveland,United States,Cleveland Browns,American football,,,North America
Stadio Olimpico,72698,Rome,Italy,A.S. Roma,Association football,athletics,,Europe
International Stadium Yokohama,72327,Yokohama,Japan,Yokohama F. Marinos,Association football,,,Asia
NRG Stadium,72000,Houston,United States,Houston Texans,American football,,,North America
Legion Field,72000,"Birmingham, Alabama",United States,UAB Blazers football,American football,,,North America
Olympic Stadium (Athens),71030,Athens,Greece,AEK Athens,Association football,athletics,,Europe
M&amp;T Bank Stadium,71008,Baltimore,United States,Baltimore Ravens,American football,,,North America
Faurot Field,71004,"Columbia, Missouri",United States,Missouri Tigers football,American football,,,North America
Mercedes-Benz Stadium,71000,Atlanta,United States,Atlanta Falcons,American football,association football,,North America
Kinnick Stadium,70585,"Iowa City, Iowa",United States,Iowa Hawkeyes football,American football,,,North America
SDCCU Stadium,70561,San Diego,United States,San Diego State Aztecs football,American football,baseball,,North America
Husky Stadium,70138,Seattle,United States,Washington Huskies football,American football,,,North America
Estádio Nacional de Brasília,70064,Brasília,Brazil,Sociedade Esportiva do Gama,Association football,,,South America
Olimpiyskiy National Sports Complex,70050,Kiev,Ukraine,FK Dynamo Kyiv,Association football,Athletics,,Europe
Seoul Olympic Stadium,69950,Seoul,South Korea,Korea Republic national football team,Athletics,association football,,Asia
Baku National Stadium,69870,Baku,Azerbaijan,Azerbaijan national football team,Association football,athletics,,Asia
Olympic Stadium (Munich),69250,Munich,Germany,,Athletics,,,Europe
Nissan Stadium,69143,"Nashville, Tennessee",United States,Tennessee Titans,American football,,,North America
Gillette Stadium,68756,"Foxborough, Massachusetts",United States,New England Patriots,American football,association football,,North America
Lincoln Financial Field,68532,Philadelphia,United States,Philadelphia Eagles,American football,,,North America
Levi's Stadium,68500,"Santa Clara, California",United States,San Francisco 49ers,American football,,,North America
Heinz Field,68400,Pittsburgh,United States,Pittsburgh Steelers,American football,,,North America
Krestovsky Stadium,68134,Saint Petersburg,Russia,FC Zenit Saint Petersburg,Association football,,,Asia
Wanda Metropolitano,67703,Madrid,Spain,Atlético Madrid,Association football,,,Europe
Stade Vélodrome,67344,Marseille,France,Olympique de Marseille,Association football,rugby union,,Europe
Murrayfield Stadium,67144,Edinburgh,United Kingdom,Scotland national rugby union team,Rugby union,,,Europe
Palaran Stadium,67075,Samarinda,Indonesia,,Athletics,association football,,Asia
Estádio do Morumbi,67052,São Paulo,Brazil,São Paulo FC,Association football,,,South America
CenturyLink Field,67000,Seattle,United States,Seattle Seahawks,American football,association football,,North America
King Fahd International Stadium,67000,Riyadh,Saudi Arabia,Al Nasr,Association football,,,Asia
The Dome at America's Center,66965,St. Louis,United States,None,,,,North America
Yadegar-e Emam Stadium,66833,Tabriz,Iran,Teraktor Sazi,Association football,,,Asia
Seoul World Cup Stadium,66806,Seoul,South Korea,Korea Republic national football team,Association football,,,Asia
U.S. Bank Stadium,66655,Minneapolis,United States,Minnesota Vikings,American football,,,North America
Daegu Stadium,66422,Daegu,South Korea,Daegu FC,Athletics,association football,,Asia
Eden Gardens,66349,Kolkata,India,Indian national cricket team,Cricket,,,Asia
Lane Stadium,66233,"Blacksburg, Virginia",United States,Virginia Tech Hokies football,American football,,,North America
London Stadium,66000,London,United Kingdom,West Ham United F.C.,Athletics,association football,cricket,Europe
Sun Devil Stadium,65870,"Tempe, Arizona",United States,Arizona State Sun Devils football,American football,,,North America
Raymond James Stadium,65847,"Tampa, Florida",United States,Tampa Bay Buccaneers,American football,,,North America
Paul Brown Stadium,65535,Cincinnati,United States,Cincinnati Bengals,American football,,,North America
Camping World Stadium,65438,"Orlando, Florida",United States,"Jones High School, Orlando",American football,association football,,North America
Hard Rock Stadium,65326,"Miami Gardens, Florida",United States,Miami Dolphins,American football,baseball,,North America
Estadio Centenario,65045,Montevideo,Uruguay,Uruguay national football team,Association football,,,South America
Basra Sports City,65000,Basra,Iraq,Iraq national football team,Association football,,,Asia
Foro Sol,65000,Mexico City,Mexico,Autódromo Hermanos Rodriguez,Baseball,,,North America
Kamuzu Stadium,65000,Blantyre,Malawi,Malawi national football team,Association football,,,Africa
Alamodome,65000,San Antonio,United States,UTSA Roadrunners football,American football,baseball,,North America
Ford Field,65000,Detroit,United States,Detroit Lions,American football,,,North America
Stade Olympique de Radès,65000,Radès,Tunisia,Tunisia national football team,Association football,,,Africa
Jaber Al-Ahmad International Stadium,65000,Kuwait City,Kuwait,Kuwait national football team,Association football,,,Asia
June 11 Stadium,65000,Tripoli,Libya,Libya national football team,Association football,,,Africa
Estádio da Luz,64642,Lisbon,Portugal,Benfica,Association football,,,Europe
Vaught–Hemingway Stadium,64038,"Oxford, Mississippi",United States,Ole Miss Rebels football,American football,,,North America
Workers Stadium,64000,Beijing,China,Beijing Guoan,Association football,,,Asia
Castelão (Ceará),63903,Fortaleza,Brazil,Ceará,Association football,,,South America
LaVell Edwards Stadium,63725,"Provo, Utah",United States,Brigham Young University Cougars football,American football,,,North America
Saitama Stadium 2002,63700,Saitama,Japan,Urawa Red Diamonds,Association football,,,Asia
University of Phoenix Stadium,63400,"Glendale, Arizona",United States,Arizona Cardinals,American football,,,North America
California Memorial Stadium,63186,"Berkeley, California",United States,California Golden Bears football,American football,,,North America
Estadio Olímpico Universitario,63186,Mexico City,Mexico,Club Universidad Nacional,Association football,American football,,North America
Oakland–Alameda County Coliseum,63026,"Oakland, California",United States,Oakland Raiders,American football,baseball,,North America
Lucas Oil Stadium,63000,Indianapolis,United States,Indianapolis Colts,American football,basketball,,North America
Kenan Memorial Stadium,62980,"Chapel Hill, North Carolina",United States,North Carolina Tar Heels football,American football,,,North America
Memorial Stadium (Champaign),62872,"Champaign, Illinois",United States,Illinois Fighting Illini football,American football,,,North America
Ellis Park Stadium,62567,Johannesburg,South Africa,Golden Lions,Rugby union,association football,,Africa
Ross–Ade Stadium,62500,"West Lafayette, Indiana",United States,Purdue Boilermakers football,American football,,,North America
Veltins-Arena,62271,Gelsenkirchen,Germany,FC Schalke 04,Association football,,,Europe
Mineirão Stadium,62170,Belo Horizonte,Brazil,Clube Atlético Mineiro,Association football,,,South America
Yizhong Sports Center,62000,Qingdao,China,Qingdao Jonoon,Association football,,,Asia
Jack Trice Stadium,61500,"Ames, Iowa",United States,Iowa State Cyclones football,American football,,,North America
Scott Stadium,61500,"Charlottesville, Virginia",United States,Virginia Cavaliers football,American football,,,North America
Soldier Field,61500,Chicago,United States,Chicago Bears,American football,,,North America
Yale Bowl,61446,"New Haven, Connecticut",United States,Yale Bulldogs football,American football,,,North America
Davis Wade Stadium,61337,"Starkville, Mississippi",United States,Mississippi State Bulldogs football,American football,,,North America
Eden Park,61136,Auckland,New Zealand,New Zealand All Blacks,Rugby union,,,Australia and Oceania
Kroger Field,61000,"Lexington, Kentucky",United States,Kentucky Wildcats football,American football,,,North America
Mercedes-Benz Arena (Stuttgart),60649,Stuttgart,Germany,VfB Stuttgart,Association football,,,Europe
Grêmio Arena,60540,Porto Alegre,Brazil,Grêmio,Association football,,,South America
Mississippi Veterans Memorial Stadium,60492,"Jackson, Mississippi",United States,Jackson State Tigers,American football,,,North America
Jones AT&amp;T Stadium,60454,"Lubbock, Texas",United States,Texas Tech Red Raiders football,American football,,,North America
Celtic Park,60411,Glasgow,United Kingdom,Celtic F.C.,Association football,,,Europe
Emirates Stadium,60338,London,United Kingdom,Arsenal F.C.,Association football,,,Europe
Stadio San Paolo,60240,Naples,Italy,Napoli,Association football,,,Europe
Boone Pickens Stadium,60218,"Stillwater, Oklahoma",United States,Oklahoma State Cowboys football,American football,,,North America
Estádio do Arruda,60044,Recife,Brazil,Santa Cruz Futebol Clube,Association football,,,South America
Gelora Bung Tomo Stadium,60000,Surabaya,Indonesia,Persebaya Surabaya,Association football,,,Asia
"Jawaharlal Nehru Stadium, Delhi",60000,Delhi,India,India national football team,Association football,athletics,,Asia
King Abdullah Sports City,60000,Jeddah,Saudi Arabia,Saudi national football team,Association football,,,Asia
Estadio Libertadores de América,60000,Avellaneda,Argentina,Club Atlético Independiente,Association football,,,South America
"Jawaharlal Nehru Stadium, Chennai",60000,Chennai,India,India national football team,Association football,,,Asia
Dr. Bhupen Hazarika Cricket Stadium,60000,Guwahati,India,Assam Cricket Association,Cricket,,,Asia
Estadio Monumental Virgen de Chapi,60000,Arequipa,Peru,FBC Melgar,Association football,,,South America
Mountaineer Field at Milan Puskar Stadium,60000,"Morgantown, West Virginia",United States,West Virginia Mountaineers football,American football,,,North America
National Heroes Stadium,60000,Lusaka,Zambia,Zambia national football team,Association football,,,Africa
Abuja Stadium,60000,Abuja,Nigeria,Nigeria national football team,Association football,,,Africa
Gaddafi Stadium,60000,Lahore,Pakistan,Pakistan national cricket team,Cricket,,,Asia
Lake Tanganyika Stadium,60000,Kigoma,Tanzania,Reli FC*,Association football,,,Africa
Benjamin Mkapa National Stadium,60000,Dar es Salaam,Tanzania,Tanzania national football team,Association football,,,Africa
Shenyang Olympic Sports Centre Stadium,60000,Shenyang,China,,Association football,athletics,,Asia
Stade Leopold Senghor,60000,Dakar,Senegal,Senegal national football team,Association football,,,Africa
Moi International Sports Centre,60000,Nairobi,Kenya,Kenya national football team,Association football,,,Africa
Nanjing Olympic Sports Center,60000,Nanjing,China,Jiangsu Sainty F.C.,Association football,athletics,,Asia
National Sports Stadium (Zimbabwe),60000,Harare,Zimbabwe,Zimbabwe national football team,Association football,athletics,,Africa
Odi Stadium,60000,Mabopane,South Africa,Garankuwa United,Association football,,,Africa
Tianhe Stadium,60000,Guangzhou,China,Guangzhou Evergrande F.C.,Association football,,,Asia
Tianjin Olympic Centre Stadium,60000,Tianjin,China,Tianjin Teda F.C.,Association football,,,Asia
Wuhan Sports Center Stadium,60000,Wuhan,China,Wuhan Zall F.C.,Association football,,,Asia
Hohhot City Stadium,60000,Hohhot,China,local football teams,Association football,,,Asia
Jinan Olympic Sports Center Stadium,60000,Jinan,China,Shandong Luneng Taishan F.C.,Association football,athletics,,Asia
Hefei Olympic Sports Center Stadium,60000,Hefei,China,local football teams,Association football,athletics,,Asia
Harbin Sports City Center Stadium,60000,Harbin,China,local football teams,Association football,athletics,,Asia
Guangxi Sports Center,60000,Nanning,China,local football teams,Association football,athletics,,Asia
Perth Stadium,60000,Perth,Australia,Fremantle FC,Australian rules football,rugby union,cricket,Australia and Oceania
Liberty Bowl Memorial Stadium,59308,"Memphis, Tennessee",United States,Memphis Tigers football,American football,,,North America
Estadio Monumental Isidro Romero Carbo,59283,Guayaquil,Ecuador,Barcelona Sporting Club,Association football,,,South America
Parc Olympique Lyonnais,59186,Décines,France,Olympique Lyonnais,Association football,,,Europe
Chongqing Olympic Sports Center,58680,Chongqing,China,Chongqing F.C.,Association football,,,Asia
Stadio San Nicola,58248,Bari,Italy,A.S. Bari,Association football,,,Europe
"National Stadium, Warsaw",58145,Warsaw,Poland,Poland national football team,Association football,American football,,Europe
Arizona Stadium,57803,"Tucson, Arizona",United States,Arizona Wildcats football,American football,,,North America
Olímpico Sevilla,57619,Seville,Spain,Spain national football team,Association football,,,Europe
Carter–Finley Stadium,57583,"Raleigh, North Carolina",United States,NC State Wolfpack football,American football,,,North America
Olympic Stadium (Tokyo),57363,Tokyo,Japan,Japan national football team,Association football,athletics,,Asia
Imtech-Arena,57030,Hamburg,Germany,Hamburger SV,Association football,,,Europe
Estadio Mario Alberto Kempes,57000,Córdoba,Argentina,,Association football,,,South America
Estadio Jalisco,56713,Guadalajara,Mexico,Club Atlas,Association football,,,North America
Estadio Benito Villamarín,56500,Seville,Spain,Real Betis,Association football,,,Europe
Docklands Stadium,56347,Melbourne,Australia,Western Bulldogs,Australian rules football,cricket,association footbal,Australia and Oceania
Commonwealth Stadium (Edmonton),56302,Edmonton,Canada,Edmonton Eskimos,Canadian football,association football,rugby union,North America
Olympic Stadium (Montreal),56040,Montreal,Canada,Montreal Alouettes,Canadian football,baseball,association footbal,North America
Estádio Beira-Rio,56000,Porto Alegre,Brazil,Sport Club Internacional,Association football,,,South America
Stadium Puskás Ferenc,56000,Budapest,Hungary,Hungary national football team,Association football,,,Europe
Dodger Stadium,56000,Los Angeles,United States,Los Angeles Dodgers,Baseball,,,North America
Papa John's Cardinal Stadium,56000,"Louisville, Kentucky",United States,Louisville Cardinals football,American football,,,North America
Estadi Olímpic Lluís Companys,55926,Barcelona,Spain,,Athletics,,,Europe
Arena Națională,55634,Bucharest,Romania,Romania national football team,Association football,,,Europe
"Municipal Corporation Stadium, Kozhikode",55575,Kozhikode,India,Viva Kerala,Association football,cricket,,Asia
Stadion Crvena Zvezda,55538,Belgrade,Serbia,Red Star Belgrade,Association football,,,Europe
Estadio La Casa Blanca,55400,Quito,Ecuador,Liga Deportiva Universitaria,Association football,,,South America
Etihad Stadium (Manchester),55097,Manchester,United Kingdom,Manchester City F.C.,Association football,,,Europe
Vicente Calderón Stadium,55005,Madrid,Spain,Atlético Madrid,Association football,,,Europe
DY Patil Stadium,55000,Navi Mumbai,India,Mumbai Indians,Cricket,,,Asia
Trivandrum International Stadium,55000,Thiruvananthapuram,India,India national cricket team,Cricket,,,Asia
New Singapore National Stadium,55000,Singapore,Singapore,Singapore national football team,Association football,Rugby,Cricket,Asia
Rajiv Gandhi International Cricket Stadium,55000,Hyderabad,India,Hyderabad cricket team,Cricket,,,Asia
Cape Town Stadium,55000,Cape Town,South Africa,Ajax Cape Town,Association football,,,Africa
Bobby Dodd Stadium,55000,Atlanta,United States,Georgia Tech Yellow Jackets football,American football,,,North America
Estadio Latinoamericano,55000,Havana,Cuba,Industriales,Baseball,,,North America
Helong Stadium,55000,Changsha,China,Hunan Billows F.C.,Association football,,,Asia
Feroz Shah Kotla Ground,55000,Delhi,India,Delhi cricket team,Cricket,,,Asia
Sardar Patel Stadium,55000,Ahmedabad,India,Gujarat cricket team,Cricket,,,Asia
Semple Stadium,55000,Thurles,Ireland,Tipperary GAA,Hurling,Gaelic football,,Europe
World Games Stadium,55000,Kaohsiung,Taiwan,,Association football,,,Asia
Pune International Cricket Centre,55000,Pune,India,Maharashtra Cricket Association,Cricket,,,Asia
Plovdiv Stadium,55000,Plovdiv,Bulgaria,junior football teams,Association football,athletics,,Europe
Esprit Arena,54600,Düsseldorf,Germany,Fortuna Düsseldorf,Association football,,,Europe
Boris Paichadze Stadium,54549,Tbilisi,Georgia,FC Dinamo Tbilisi,Association football,rugby union,,Asia
Silesian Stadium,54477,Chorzów,Poland,Poland national football team,Association football,speedway,athletic,Europe
Friends Arena,54329,Solna,Sweden,AIK,Association football,,,Europe
BC Place,54320,Vancouver,Canada,BC Lions,Canadian football,association football,,North America
Hrazdan Stadium,54208,Yerevan,Armenia,Armenia national football team,Association football,,,Asia
War Memorial Stadium (Arkansas),54120,"Little Rock, Arkansas",United States,Arkansas Razorbacks football,American football,,,North America
Anfield,54074,Liverpool,United Kingdom,Liverpool F.C.,Association football,,,Europe
Borussia-Park,54067,Mönchengladbach,Germany,Borussia Mönchengladbach,Association football,,,Europe
Rogers Centre,54000,Toronto,Canada,Toronto Blue Jays,Baseball,,,North America
Moses Mabhida Stadium,54000,Durban,South Africa,,Association football,,,Africa
Autzen Stadium,54000,"Eugene, Oregon",United States,Oregon Ducks football,American football,,,North America
Busan Asiad Stadium,53864,Busan,South Korea,Busan IPark,Association football,,,Asia
Folsom Field,53750,"Boulder, Colorado",United States,Colorado Buffaloes football,American football,,,North America
Estadio Ciudad de La Plata,53600,La Plata,Argentina,Club de Gimnasia y Esgrima La Plata,Association football,,,South America
Adelaide Oval,53583,Adelaide,Australia,Australia national cricket team,Cricket,Australian rules football,,Australia and Oceania
Johan Cruyff Arena,53502,Amsterdam,Netherlands,Ajax Amsterdam,Association football,,,Europe
Estadio BBVA Bancomer,53500,Monterrey,Mexico,C.F. Monterrey,Association football,,,North America
Estádio Parque do Sabiá,53350,Uberlândia,Brazil,Uberlândia Esporte Clube,Association football,,,South America
San Mamés Stadium (2013),53332,Bilbao,Spain,Athletic Bilbao,Association football,,,Europe
Aleppo International Stadium,53200,Aleppo,Syria,Al-Ittihad,Association football,,,Asia
Ernst Happel Stadion,53008,Vienna,Austria,Austria national football team,Association football,,,Europe
"Memorial Stadium, Bloomington",52692,"Bloomington, Indiana",United States,Indiana Hoosiers football,American football,,,North America
Türk Telekom Stadium,52652,Istanbul,Turkey,Galatasaray S.K.,Association football,,,Asia
Franklin Field,52593,Philadelphia,United States,Penn Quakers football,American football,athletics,,North America
Şükrü Saracoğlu Stadium,52530,Istanbul,Turkey,Fenerbahçe S.K.,Association football,,,Asia
Donbass Arena,52518,Donetsk,Ukraine,Shaktar Donetsk,Association football,,,Europe
Lang Park,52500,Brisbane,Australia,Queensland Maroons,Rugby league,rugby union,association footbal,Australia and Oceania
Falcon Stadium,52480,"Colorado Springs, Colorado",United States,Air Force Falcons football,American football,,,North America
Estadio Mestalla,52469,Valencia,Spain,Valencia CF,Association football,,,Europe
High Point Solutions Stadium,52454,"Piscataway, New Jersey",United States,Rutgers Scarlet Knights football,American football,association football,lacrosse,North America
St James' Park,52387,Newcastle upon Tyne,United Kingdom,Newcastle United F.C.,Association football,,,Europe
Yankee Stadium,52325,New York City,United States,New York Yankees,Baseball,association football,,North America
Bill Snyder Family Football Stadium,52200,"Manhattan, Kansas",United States,Kansas State Wildcats football,American football,,,North America
Huainan Sports Stadium,52080,Huainan,China,local football teams,Association football,,,Asia
Kings Park Stadium,52000,Durban,South Africa,Sharks,Rugby union,association football,,Africa
Estádio do Dragão,52000,Porto,Portugal,FC Porto,Association football,,,Europe
Stade Moulay Abdellah,52000,Rabat,Morocco,FAR Rabat,Association football,,,Africa
Estadio Monumental de Maturín,52000,Maturín,Venezuela,Monagas Sport Club,Association football,,,South America
Stade Omnisports,52000,Yaoundé,Cameroon,Tonnerre Yaoundé,Association football,,,Africa
Guiyang Olympic Sports Center,52000,Guiyang,China,Guizhou Renhe F.C.,Association football,,,Asia
Philippine Arena,51898,Ciudad de Victoria,Philippines,None,Basketball,,,Asia
Hampden Park,51866,Glasgow,United Kingdom,Scotland national football team,Association football,,,Europe
Maryland Stadium,51802,"College Park, Maryland",United States,Maryland Terrapins,American football,,,North America
Loftus Versfeld Stadium,51762,Pretoria,South Africa,Bulls,Rugby union,cricket,association footbal,Africa
Aviva Stadium,51700,Dublin,Ireland,Ireland national rugby union team,Rugby union,association football,,Europe
De Kuip,51577,Rotterdam,Netherlands,Feyenoord,Association football,,,Europe
Commerzbank-Arena,51500,Frankfurt,Germany,Eintracht Frankfurt,Association football,,,Europe
Kumasi Sports Stadium,51500,Kumasi,Ghana,Asante Kotoko,Association football,,,Africa
Sun Bowl Stadium,51500,"El Paso, Texas",United States,UTEP Miners,American football,,,North America
Estadio Juan Domingo Perón,51389,Avellaneda,Argentina,Racing Club de Avellaneda,Association football,,,South America
Shizuoka Stadium,51349,Fukuroi,Japan,Júbilo Iwata,Association football,,,Asia
İzmir Atatürk Stadium,51295,Izmir,Turkey,Altay S.K.,Association football,,,Asia
Huanglong Stadium,51139,Hangzhou,China,Hangzhou Greentown F.C.,Association football,,,Asia
Newlands Stadium,51100,Cape Town,South Africa,Stormers,Rugby union,association football,,Africa
Ghadir Stadium,51000,Ahvaz,Iran,Foolad F.C.,Association football,,,Asia
Shaanxi Province Stadium,51000,Xi'an,China,local football team,Association football,,,Asia
Independence Stadium (United States),50832,"Shreveport, Louisiana",United States,Independence Bowl,American football,,,North America
Ibrox Stadium,50817,Glasgow,United Kingdom,Rangers F.C.,Association Football,,,Europe
TCF Bank Stadium,50805,Minneapolis,United States,Minnesota Golden Gophers football,American football,,,North America
Dowdy–Ficklen Stadium,50500,"Greenville, North Carolina",United States,East Carolina University Pirates football,American football,,,North America
Estádio José Alvalade,50466,Lisbon,Portugal,Sporting Clube de Portugal,Association football,,,Europe
Coors Field,50445,Denver,United States,Colorado Rockies,Baseball,,,North America
Incheon Munhak Stadium,50256,Incheon,South Korea,Incheon Korail,Association football,,,Asia
Stade Pierre-Mauroy,50186,Villeneuve d'Ascq,France,Lille OSC,Association football,,,Europe
King Baudouin Stadium,50122,Brussels,Belgium,Belgium national football team,Association football,athletics,,Europe
Ajinomoto Stadium,50100,Chofu,Japan,F.C. Tokyo,Association football,,,Asia
University of Kansas Memorial Stadium,50071,"Lawrence, Kansas",United States,Kansas Jayhawks football,American football,,,North America
Shaheed Mohtarama Benazir Bhutto International Cricket Stadium,50000,Garhi Khuda Bakhsh,Pakistan,Pakistan national cricket team,Cricket,,,Asia
Arena Fonte Nova,50000,Salvador,Brazil,,Association football,,,South America
Stade 19 Mai 1956,50000,Annaba,Algeria,USM Annaba,Association football,,,Africa
Za Lužánkami,50000,Brno,Czech Republic,Brno,Association football,,,Europe
Kim Il-sung Stadium,50000,Pyongyang,North Korea,Pyongyang City Sports Group,Association football,,,Asia
Aloha Stadium,50000,Honolulu,United States,Hawai,American football,baseball,,North America
Charles Mopeli Stadium,50000,Phuthaditjhaba,South Africa,Free State Stars,Association football,,,Africa
